Model,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,MCC,Brier
BERT-LSTM,0.925,--,0.915,0.937,0.926,--,--,--,--
all-mpnet,0.932,--,0.934,0.93,0.932,--,--,--,--
sentence-bert-base,0.934,--,0.938,0.928,0.933,--,--,--,--
GreenExBert (Student),0.926,--,0.923,0.931,0.927,--,--,--,--
Hoque et al. (Cost-LSTM),0.92,--,0.89,0.98,0.94,0.97,--,--,--
ExPreHet,0.8324,--,0.8322,0.8328,0.8325,0.8324,--,--,--
RGCN-VulVendorNet,0.8062,--,0.8144,0.8345,0.824,--,--,--,--
TextGuard-Lite (Ours),0.8636,0.8636,0.8797,0.8427,0.8608,0.9422,0.9399,0.7279,0.1072
TabShield-Net (Ours),0.9766,0.9766,0.9781,0.9751,0.9766,0.9978,0.9979,0.9532,0.0202
SecureFusion-X (Ours),0.9797,0.9797,0.9783,0.9813,0.9798,0.9949,0.9948,0.9595,0.0182
